City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Pevek,RU,69.7,170.31,12.56,88,67,21.05,broken clouds
192,Castelo Do Piaui,BR,-5.32,-41.55,75.09,89,100,5.57,heavy intensity rain
193,Nyurba,RU,63.28,118.33,8.29,85,100,8.19,overcast clouds
194,Jaumave,MX,23.42,-99.38,80.6,30,40,11.41,scattered clouds
195,Kodiak,US,57.79,-152.41,30.2,42,1,14.99,clear sky
196,Saint-Joseph,RE,-21.37,55.62,69.8,56,90,4.7,overcast clouds
197,Constitucion,CL,-35.33,-72.42,57.99,79,50,11.63,scattered clouds
198,Ostrovnoy,RU,68.05,39.51,37.36,81,99,35.5,overcast clouds
199,Thompson,CA,55.74,-97.86,21.2,92,90,6.93,light snow
200,Kulhudhuffushi,MV,6.62,73.07,82.4,69,1,5.01,clear sky
201,Mecca,SA,21.43,39.83,78.15,66,0,6.22,clear sky
202,Yulara,AU,-25.24,130.99,75.2,25,33,5.82,scattered clouds
203,Half Moon Bay,US,37.46,-122.43,80.01,64,5,5.82,clear sky
204,Kamarion,GR,36.8,25.82,64.0,66,58,1.99,broken clouds
205,Yarada,IN,17.65,83.27,78.8,94,75,2.24,mist
206,Guhagar,IN,17.48,73.19,76.35,74,7,4.68,clear sky
207,San Patricio,US,28.02,-97.52,75.0,46,20,10.29,few clouds
208,Shingu,JP,33.73,135.98,58.55,89,79,4.81,broken clouds
209,Iralaya,HN,15.0,-83.23,64.4,100,90,4.7,light rain
210,Port Hardy,CA,50.7,-127.42,50.0,100,90,23.04,moderate rain
211,Lapy,PL,52.99,22.88,48.99,100,100,9.24,light rain
212,Sao Joao Da Barra,BR,-21.64,-41.05,71.6,60,75,13.87,broken clouds
213,Columbus,US,39.96,-83.0,46.99,28,1,14.99,clear sky
214,Necochea,AR,-38.55,-58.74,72.0,47,9,11.01,clear sky
215,Zyryanka,RU,65.75,150.85,-9.63,90,0,6.17,clear sky
216,Zarinsk,RU,53.71,84.95,29.82,98,99,4.21,overcast clouds
217,Deputatskiy,RU,69.3,139.9,-13.9,83,8,2.98,clear sky
218,Yeniseysk,RU,58.45,92.17,29.43,97,99,7.4,overcast clouds
219,Coari,BR,-4.08,-63.14,83.8,62,20,1.63,few clouds
220,Puerto Quijarro,BO,-17.78,-57.77,86.43,36,80,4.97,broken clouds
221,Puqi,CN,29.72,113.88,55.18,68,45,5.01,scattered clouds
222,Leningradskiy,RU,69.38,178.42,17.15,93,100,6.6,overcast clouds
223,Kavieng,PG,-2.57,150.8,84.42,70,2,3.67,clear sky
224,Talnakh,RU,69.49,88.4,12.2,92,40,2.24,haze
225,Flic En Flac,MU,-20.27,57.36,69.8,73,75,4.7,shower rain
226,Upernavik,GL,72.79,-56.15,16.75,92,99,7.2,overcast clouds
227,Lata,PT,40.16,-8.33,60.01,95,100,1.01,overcast clouds
228,Tokmak,UA,47.25,35.71,47.88,85,92,4.88,overcast clouds
229,Vostok,RU,46.49,135.88,18.37,97,80,6.06,broken clouds
230,Toora-Khem,RU,52.47,96.11,24.19,93,100,2.01,overcast clouds
231,Viedma,AR,-40.81,-63.0,82.0,26,0,4.0,clear sky
